Chemicals,Chemical_Count,PharmGKB_ID,RS_ID,Chromosome,Postion,Gene,Annotation_ID,Level_of_Evidence,Types,Phenotypes,OMB_Races,Unknown_Race,Mixed_Population
PA450428:methotrexate,1,PA166135564,rs10197559,chr2,216185825,ATIC,1184748888,4,toxicity,"PA443434:Arthritis, Rheumatoid",,1,
PA10004:adalimumab,1,PA166136375,rs10210302,chr2,234158839,ATG16L1,1445401330,3,efficacy,PA443815:Crohn Disease,,,
PA448691:busulfan;PA449165:cyclophosphamide,2,PA166161889,rs1021737,chr1,70904800,CTH,1448525564,3,toxicity,PA166122646:hemopoietic stem cell transplant,,,1
PA451846:valproic acid,1,PA166152734,rs1019385,chr12,14134843,GRIN2B,1447960953,3,dosage,PA444065:Epilepsy,asian,,
PA450480:metoprolol,1,PA166134447,rs1024323,chr4,3006043,GRK4,981419095,3,efficacy,PA444552:Hypertension; PA444682:Kidney Diseases; PA445086:Nephrosclerosis,black,,
PA448499:atenolol;PA451868:verapamil,2,PA166136327,rs1024323,chr4,3006043,GRK4,1444704789,4,toxicity,PA443796:Coronary Artery Disease; PA444552:Hypertension,,,1
PA448499:atenolol,1,PA166135599,rs10267099,chr7,87278760,ABCB1,1184987053,3,toxicity,PA444552:Hypertension,white,,
PA449061:clozapine,1,PA166135097,rs10248420,chr7,87164986,ABCB1,1183630688,3,efficacy,PA447216:Schizophrenia,asian,,
PA448385:amitriptyline;PA449015:citalopram;PA450801:paroxetine;PA451866:venlafaxine,4,PA166135175,rs10248420,chr7,87164986,ABCB1,1183619311,3,efficacy,PA447278:Depression,white,,
PA449014:cisplatin;PA449165:cyclophosphamide;PA449412:doxorubicin;PA450428:methotrexate;PA451879:vincristine,5,PA166134734,rs10276036,chr7,87180197,ABCB1,982036616,3,efficacy,PA445601:Osteosarcoma,,1,
PA451578:tacrolimus,1,PA166135337,rs10264272,chr7,99262835,CYP3A5,1183699866,3,dosage,PA133888799:Organ Transplantation,,1,
PA448497:aspirin,1,PA166135833,rs10279545,chr7,101171028,COL26A1,1444704800,4,toxicity,,asian,,
PA165983754:pitrakinra,1,PA166135096,rs1029489,chr16,27376217,IL4R,1183630760,3,efficacy,PA443450:Asthma,white,,
PA448385:amitriptyline;PA449015:citalopram;PA450801:paroxetine;PA451866:venlafaxine,4,PA166135176,rs10280101,chr7,87153585,ABCB1,1183619307,3,efficacy,PA447278:Depression,white,,
PA165958364:liraglutide,1,PA166135930,rs10305420,chr6,39016636,GLP1R,1446898014,3,efficacy,PA445131:Obesity; PA445376:Polycystic Ovary Syndrome,,1,
"PA164712462:Antiinflammatory agents, non-steroids",1,PA166135753,rs10306135,chr9,125137695,PTGS1,1444700914,3,toxicity,PA165108401:Acute coronary syndrome,,1,
PA448497:aspirin;PA449053:clopidogrel,2,PA166134822,rs10306114,chr9,125132522,PTGS1,1446909064,3,efficacy,PA445019:Myocardial Infarction,,1,
PA164774763:latanoprost,1,PA166135692,rs10306114,chr9,125132522,PTGS1,1444667731,3,efficacy,"PA444282:Glaucoma, Open-Angle",asian,,
PA448497:aspirin,1,PA166134811,rs10306114,chr9,125132522,PTGS1,1183685526,2B,efficacy,PA443796:Coronary Artery Disease; PA445019:Myocardial Infarction,,1,
PA448497:aspirin,1,PA166136191,rs1042136,chr6,33048628,HLA-DPB1,1444667517,3,toxicity,PA131285571:aspirin-induced asthma; PA443450:Asthma,asian; white,,
PA448497:aspirin,1,PA166136192,rs1042151,chr6,33048661,HLA-DPB1,1444667547,3,toxicity,PA131285571:aspirin-induced asthma; PA443450:Asthma,asian,,
PA164784021:ethambutol;PA450112:isoniazid;PA451182:pyrazinamide;PA451250:rifampin,4,PA166152861,rs1041983,chr8,18257795,NAT2,1447964076,2A,toxicity,PA445941:Tuberculosis,,,1
PA450688:olanzapine,1,PA166135266,rs10423928,chr19,46182304,GIPR,1447952966,3,toxicity,PA447216:Schizophrenia,asian,,
PA451906:warfarin,1,PA166135754,rs1042580,chr20,23027621,THBD,1444700921,3,toxicity,,asian,,
PA450705:ondansetron,1,PA166134964,rs1042173,chr17,28525011,SLC6A4,1184136752,3,efficacy,PA443309:Alcoholism,,,1
PA449167:cyclosporine;PA450566:mycophenolate mofetil;PA451365:sirolimus;PA451578:tacrolimus,4,PA166134846,rs1042597,chr2,234526871,UGT1A8,1447945035,3,toxicity,PA165817016:Kidney Transplantation,,1,
PA451221:raloxifene,1,PA166160314,rs1042597,chr2,234526871,UGT1A8,1448259322,3,efficacy,PA166048848:Menopause; PA447216:Schizophrenia,,1,
PA10251:atazanavir;PA451260:ritonavir,2,PA166136090,rs1042640,chr2,233772898,UGT1A1,1448106297,3,toxicity,PA447230:HIV; PA162355520:nephrolithiasis,asian,,
PA448015:acetaminophen,1,PA166135094,rs1042640,chr2,234681544,UGT1A,1183614859,4,other,,white,,
PA448015:acetaminophen,1,PA166135095,rs1042640,chr2,234681544,UGT1A,1183614872,3,toxicity,"PA446443:Liver Failure, Acute",white,,
PA130620651:anthracyclines and related substances,1,PA166135267,rs10426377,chr19,49092234,SULT2B1,1448109828,3,toxicity,PA445062:Neoplasms,,,1
PA449599:fentanyl;PA451141:propofol;PA451232:remifentanil;PA451341:sevoflurane,4,PA166160487,rs1042718,chr5,148206917,ADRB2,1448263290,3,toxicity,PA444584:Hypotension,white,,
PA452621:antineoplastic agents;PA449014:cisplatin;PA449165:cyclophosphamide;PA128406956:fluorouracil;PA450761:paclitaxel,5,PA166134349,rs1042522,chr17,7579472,TP53,1448266886,2B,efficacy; toxicity,PA443560:Breast Neoplasms; PA445062:Neoplasms; PA445113:Neutropenia; PA445204:Ovarian Neoplasms; PA445742:Stomach Neoplasms,,,1
PA449027:cladribine;PA449177:cytarabine,2,PA166135384,rs1042919,chr11,4159764,RRM1,1183700262,3,efficacy,"PA444760:Leukemia, Myeloid, Acute",,,1
PA449748:gemcitabine;PA164713176:Platinum compounds,2,PA166135657,rs1042927,chr11,4159929,RRM1,1448617079,3,efficacy,PA444937:Mesothelioma,white,,
PA448785:carbamazepine,1,PA166135269,rs1043620,chr6,31783755,HSPA1A; HSPA1L,1448105721,3,toxicity,,white,,
PA449748:gemcitabine,1,PA166135231,rs1042858,chr11,4159466,RRM1,1183630270,3,efficacy,PA443560:Breast Neoplasms,asian,,
PA450626:nicotine,1,PA166136332,rs1044397,chr20,61981104,CHRNA4,1444704874,3,other,PA445876:Tobacco Use Disorder,asian,,
PA450403:methamphetamine,1,PA166136328,rs1045280,chr17,4622638,ARRB2,1444704815,3,other,PA446876:Substance-Related Disorders,asian,,
PA448817:carvedilol,1,PA166134042,rs1042714,chr5,148206473,ADRB2,1444667303,3,efficacy,PA444370:Heart Failure,white,,
PA449456:enalapril,1,PA166135092,rs1042714,chr5,148206473,ADRB2,1183630594,3,efficacy,"PA446479:Hypertrophy, Left Ventricular",white,,
PA451616:terbutaline,1,PA166152668,rs1042714,chr5,148206473,ADRB2,1447960201,4,efficacy,,,1,
PA448499:atenolol;PA450480:metoprolol,2,PA166152669,rs1042714,chr5,148206473,ADRB2,1447960209,3,toxicity,PA444552:Hypertension,,,
PA449748:gemcitabine,1,PA166152749,rs1044457,chr1,47842777,CMPK1,1447981383,3,efficacy,PA445062:Neoplasms,asian,,
PA133950441:hmg coa reductase inhibitors,1,PA166136204,rs10455872,chr6,161010118,LPA,1444827830,2B,efficacy,PA443796:Coronary Artery Disease,,,1
PA449061:clozapine,1,PA166135729,rs10465180,chr9,87392582,NTRK2,1444700367,3,efficacy,PA447216:Schizophrenia,white,,
PA448771:capecitabine;PA128406956:fluorouracil,2,PA166135683,rs1047840,chr1,242042301,EXO1,1444667232,3,efficacy,PA445058:Neoplasm Metastasis,asian,,
PA450626:nicotine,1,PA166134262,rs1044396,chr20,61981133,CHRNA4,982035374,3,other,PA445876:Tobacco Use Disorder,,,1
PA164781343:varenicline,1,PA166135966,rs1044396,chr20,61981134,CHRNA4,1446908548,3,efficacy,PA445876:Tobacco Use Disorder,,,1
PA450631:nifedipine,1,PA166152672,rs1048101,chr8,26628028,ADRA1A,1447960236,3,efficacy,PA444552:Hypertension,asian,,
PA448771:capecitabine;PA449383:docetaxel,2,PA166135090,rs1048943,chr15,75012985,CYP1A1,1183614839,3,efficacy,PA443560:Breast Neoplasms,asian,,
PA450401:methadone,1,PA166161948,rs10485058,chr6,154445215,OPRM1,1448526045,3,efficacy,PA445043:Opioid-Related Disorders,white,,
PA448499:atenolol,1,PA166135597,rs10157410,chr1,186947224,PLA2G4A,1184987002,3,toxicity,PA444552:Hypertension,white,,
PA451906:warfarin,1,PA166134611,rs104894539,chr16,31105965,VKORC1,981239536,4,dosage,,,1,
PA451257:risperidone,1,PA166135268,rs1042713,chr5,148206440,ADRB2,1183632179,3,toxicity,PA447216:Schizophrenia,white,,
PA165958382:methacholine,1,PA166135363,rs1042713,chr5,148206440,ADRB2,1183697637,3,efficacy,PA443450:Asthma,,,1
PA10832:corticosteroids,1,PA166135386,rs1042713,chr5,148206440,ADRB2,1447953302,3,efficacy,PA443450:Asthma,,1,
PA10832:corticosteroids;PA451300:salmeterol,2,PA166135387,rs1042713,chr5,148206440,ADRB2,1183700404,3,efficacy,PA443450:Asthma,,1,
PA448561:benazepril,1,PA166135093,rs1042713,chr5,148206440,ADRB2,1183630610,3,efficacy,PA447288:Essential hypertension,asian,,
PA448068:salbutamol;PA451300:salmeterol,2,PA166134226,rs1042713,chr5,148206440,ADRB2,1446905303,2A,efficacy,PA443450:Asthma,,,1
PA450121:isoproterenol,1,PA166135730,rs1042713,chr5,148206440,ADRB2,1444700359,4,other,,,1,
PA451145:propranolol,1,PA166152623,rs1042713,chr5,148206440,ADRB2,1447959520,3,efficacy,PA444797:Liver Cirrhosis,asian,,
"PA164712308:Ace Inhibitors, Plain;PA164712372:Angiotensin II Antagonists;PA164712535:Beta Blocking Agents;PA449319:digoxin;PA151249535:diuretics;PA451483:spironolactone",6,PA166152667,rs1042713,chr5,148206440,ADRB2,1447960189,3,efficacy,PA444370:Heart Failure,,,1
PA449466:ephedrine;PA450935:phenylephrine,2,PA166135900,rs1042713,chr5,148206440,ADRB2,1448263281,3,dosage,,,,1
PA164769056:tiotropium,1,PA166136155,rs1042713,chr5,148206440,ADRB2,1444666306,3,efficacy,PA443450:Asthma,,1,
PA448497:aspirin,1,PA166135688,rs1047626,chr4,42003671,SLC30A9,1444667466,3,toxicity,PA131285571:aspirin-induced asthma,asian,,
PA451906:warfarin,1,PA166134612,rs104894540,chr16,31105916,VKORC1,981239548,4,dosage,,,1,
PA452233:antipsychotics,1,PA166136516,rs10490162,chr2,51247657,NRXN1,1447945997,3,efficacy,PA447216:Schizophrenia,white,,
PA130232992:bevacizumab,1,PA166136022,rs10490924,chr10,124214448,ARMS2,1447946024,3,efficacy,PA134850558:Macular Degeneration,asian,,
PA451906:warfarin,1,PA166134613,rs104894541,chr16,31105878,VKORC1,981239560,4,dosage,,,1,
PA450037:interferon beta-1a;PA450039:interferon beta-1b,2,PA166152636,rs10494227,chr1,120137445,ZNF697,1448106271,3,efficacy,PA444987:Multiple Sclerosis,,,1
PA449748:gemcitabine,1,PA166135521,rs1048977,chr1,20945055,CDA,1444698366,3,other,PA445062:Neoplasms,,1,
PA448771:capecitabine,1,PA166163765,rs1048977,chr1,20945055,CDA,1448616985,3,toxicity,PA444511:Hyperbilirubinemia; PA445062:Neoplasms,,1,
PA166122986:radiotherapy,1,PA166135533,rs10497203,chr2,159851423,TANC1,1184514206,2B,toxicity,PA445425:Prostatic Neoplasms,,1,
PA164713366:Tumor necrosis factor alpha (TNF-alpha) inhibitors,1,PA166136251,rs10499563,chr7,22760488,IL6,1444687009,3,efficacy,"PA443750:Colitis, Ulcerative; PA446116:Inflammatory Bowel Diseases",,,
PA449390:dolasetron;PA449809:granisetron,2,PA166134949,rs10494366,chr1,162085685,NOS1AP,1183491003,3,toxicity,,white,,
PA451868:verapamil,1,PA166134183,rs10494366,chr1,162085685,NOS1AP,981418893,3,toxicity,PA447300:Acquired Long QT Syndrome (aLQTS),white,,
PA164712688:Dihydropyridine derivatives,1,PA166159191,rs10494366,chr1,162085685,NOS1AP,1448103823,3,toxicity,,white,,
PA451234:repaglinide,1,PA166159203,rs10494366,chr1,162085685,NOS1AP,1448103940,3,efficacy,"PA443890:Diabetes Mellitus, Type 2",asian,,
PA452233:antipsychotics,1,PA166135409,rs10501087,chr11,27670108,BDNF-AS,1183702963,3,efficacy,PA447216:Schizophrenia,white,,
PA10804:imatinib,1,PA166135374,rs1050152,chr5,131676320,SLC22A4,1444667992,3,efficacy,"PA151958383:Gastrointestinal Stromal Tumors; PA446171:Leukemia, Myelogenous, Chronic, BCR-ABL Positive",,,1
PA451906:warfarin,1,PA166134614,rs104894542,chr16,31102563,VKORC1,981239572,4,dosage,,,1,
PA451581:tamoxifen,1,PA166158998,rs10509373,chr10,78157572,C10orf11,1448100666,3,efficacy,PA443560:Breast Neoplasms,asian,,
PA448497:aspirin,1,PA166134796,rs1050891,chr2,138771759,HNMT,1043858737,3,toxicity,,asian,,
PA10026:aripiprazole;PA449061:clozapine;PA449841:haloperidol;PA450688:olanzapine;PA451201:quetiapine;PA451257:risperidone,6,PA166135349,rs1049353,chr6,88853635,CNR1,1446898845,3,toxicity,PA153906318:Autism Spectrum Disorder; PA447215:Psychotic Disorders; PA447216:Schizophrenia,,,1
PA451906:warfarin,1,PA166134867,rs10509680,chr10,96734338,CYP2C9,1043880379,3,dosage,,asian,,
PA165857067:chlorproguanil;PA449211:dapsone,2,PA166134624,rs1050828,chrX,154536002,G6PD,1446905336,1B,toxicity,PA444859:Malaria,black,,
PA448404:amodiaquine;PA451193:pyrimethamine;PA451540:sulfadoxine,3,PA166135180,rs1050828,chrX,153764217,G6PD,1183621043,4,toxicity,"PA444859:Malaria; PA446390:Malaria, Falciparum",black,,
PA165111697:artesunate;PA451103:primaquine;PA451193:pyrimethamine;PA451540:sulfadoxine,4,PA166134609,rs1050828,chrX,153764216,G6PD; IKBKG,982032375,3,toxicity,,black,,
PA448068:salbutamol,1,PA166152757,rs10511905,chr9,32348024,,1447961134,3,efficacy,PA443450:Asthma,,1,
PA164713176:Platinum compounds,1,PA166153058,rs10510050,chr10,120626562,EIF3A,1448106554,3,toxicity,"PA443622:Carcinoma, Non-Small-Cell Lung",asian,,
PA10810:pemetrexed,1,PA166136177,rs1051298,chr21,46934826,SLC19A1,1447960848,3,efficacy,"PA443622:Carcinoma, Non-Small-Cell Lung; PA444937:Mesothelioma",,,1
PA448404:amodiaquine,1,PA166134052,rs10509681,chr10,96798749,CYP2C8,1446908892,4,toxicity,,,1,
PA451283:rosiglitazone,1,PA166134144,rs10509681,chr10,96798749,CYP2C8,1448605620,2A,pk,,white,,
PA451234:repaglinide,1,PA166134455,rs10509681,chr10,96798749,CYP2C8,981419173,3,other,,white,,
PA450761:paclitaxel,1,PA166134171,rs10509681,chr10,96798749,CYP2C8,981418881,4,other,,,,
PA164713257:Selective serotonin reuptake inhibitors,1,PA166151938,rs10514475,chr16,79991692,,1447953107,3,efficacy,PA447278:Depression,,1,
PA448499:atenolol;PA451868:verapamil,2,PA166134446,rs1051375,chr12,2788879,CACNA1C,981419089,3,efficacy,PA443796:Coronary Artery Disease; PA444552:Hypertension,,,1
PA451644:thalidomide,1,PA166134865,rs1051685,chr2,217070375,XRCC5,1043880327,3,efficacy,PA444985:Multiple Myeloma,,1,
PA451906:warfarin,1,PA166135934,rs10517,chr16,69743760,NQO1,1448267378,3,dosage,,asian,,
PA449014:cisplatin,1,PA166135203,rs1051640,chr17,48768486,ABCC3,1448616434,3,toxicity,PA443937:Drug Toxicity; PA445062:Neoplasms; PA162263534:Ototoxicity,,,1
PA449014:cisplatin;PA449165:cyclophosphamide,2,PA166135518,rs1052536,chr17,33331575,LIG3,1184348778,3,toxicity,PA445204:Ovarian Neoplasms,,,
PA449014:cisplatin;PA449165:cyclophosphamide,2,PA166135514,rs1051740,chr1,226019633,EPHX1,1184348712,3,toxicity,PA445204:Ovarian Neoplasms,,,
PA450947:phenytoin,1,PA166134302,rs1051740,chr1,226019633,EPHX1,981419020,3,toxicity,PA443223:Congenital Abnormalities; PA446836:Craniofacial Abnormalities,,1,
PA448785:carbamazepine,1,PA166134607,rs1051740,chr1,226019633,EPHX1,1447679981,2B,dosage,PA444065:Epilepsy,,,1
PA450921:phenprocoumon,1,PA166152673,rs1051740,chr1,226019633,EPHX1,1447960243,3,efficacy,,white,,
PA449383:docetaxel,1,PA166158784,rs10538494,chr1,161206705,NR1I3,1448099228,3,toxicity,PA443340:Anemia; PA445046:Nasopharyngeal Neoplasms,asian,,
PA164712720:Drugs used in nicotine dependence,1,PA166134695,rs1051730,chr15,78894338,CHRNA3,982031887,3,efficacy,PA445876:Tobacco Use Disorder,white,,
PA450626:nicotine,1,PA166135733,rs1051730,chr15,78894339,CHRNA3,1444700409,2B,toxicity,,,,1
PA164712950:Opium alkaloids and derivatives,1,PA166136468,rs1051730,chr15,78894339,CHRNA3,1446908573,3,toxicity,PA445208:Pain,,1,
PA448073:ethanol,1,PA166159194,rs1051730,chr15,78894339,CHRNA3,1448103844,3,other,PA443309:Alcoholism,white,,
PA450428:methotrexate,1,PA166136527,rs1053129,chr5,80626901,DHFR,1447946243,3,efficacy,PA445601:Osteosarcoma,,1,
PA130232992:bevacizumab;PA128406956:fluorouracil;PA450085:irinotecan;PA450198:leucovorin,4,PA166136368,rs1056515,chr1,163113260,RGS5,1448102832,3,efficacy,PA446108:Colorectal Neoplasms,,1,
PA164713176:Platinum compounds,1,PA166136181,rs1052555,chr19,45855524,ERCC2,1444666891,3,efficacy,"PA443622:Carcinoma, Non-Small-Cell Lung",,1,
PA450085:irinotecan,1,PA166135354,rs1051266,chr21,46957794,SLC19A1,1183697539,3,efficacy,PA446108:Colorectal Neoplasms,asian,,
PA450428:methotrexate,1,PA166134338,rs1051266,chr21,46957794,SLC19A1,1448099619,3,efficacy; toxicity,"PA443434:Arthritis, Rheumatoid",,,1
PA450428:methotrexate,1,PA166134608,rs1051266,chr21,46957794,SLC19A1,1448126207,3,efficacy; toxicity,PA445062:Neoplasms,,,1
PA10004:adalimumab;PA165107055:certolizumab pegol;PA449515:etanercept;PA452347:glucocorticoids;PA452639:infliximab;PA450428:methotrexate,6,PA166151928,rs1059150,chr20,57605439,ATP5E,1447952824,3,efficacy,"PA443434:Arthritis, Rheumatoid",,1,
PA130620651:anthracyclines and related substances,1,PA166134116,rs1056892,chr21,37518706,CBR3,981418871,2B,toxicity,PA444370:Heart Failure; PA445062:Neoplasms,,,1
PA448497:aspirin,1,PA166135736,rs1059288,chr6,33267672,TAPBP,1444700464,3,toxicity,PA443450:Asthma,asian,,
PA449383:docetaxel;PA450761:paclitaxel,2,PA166134130,rs1056836,chr2,38071060,CYP1B1,1448101576,3,efficacy,PA443560:Breast Neoplasms; PA445425:Prostatic Neoplasms,,,1
PA449165:cyclophosphamide;PA449476:epirubicin;PA128406956:fluorouracil,3,PA166136364,rs1056836,chr2,38071060,CYP1B1,1448102826,3,efficacy,PA443560:Breast Neoplasms,,1,
PA449165:cyclophosphamide;PA449476:epirubicin;PA450761:paclitaxel,3,PA166136021,rs1056836,chr2,38071060,CYP1B1,1448102856,3,toxicity,PA443560:Breast Neoplasms,white,,
PA10204:tenofovir,1,PA166136493,rs1059751,chr13,95672950,ABCC4,1447813544,3,toxicity,PA447230:HIV,asian,,
PA448432:anastrozole;PA449563:exemestane,2,PA166135602,rs10485828,chr20,57600655,TUBB1,1448106291,3,other,PA443560:Breast Neoplasms,,1,
PA162372878:dasatinib;PA10804:imatinib;PA165958345:nilotinib,3,PA166135737,rs1061018,chr4,89042853,ABCG2,1444700507,4,other,,,1,
PA448803:carboplatin;PA150481189:taxanes,2,PA166135944,rs1061472,chr13,52524488,ATP7B,1446899954,3,toxicity,PA445204:Ovarian Neoplasms,,1,
PA452639:infliximab;PA164713366:Tumor necrosis factor alpha (TNF-alpha) inhibitors,2,PA166135823,rs1061622,chr1,12252955,TNFRSF1B,1447959179,3,efficacy,"PA443434:Arthritis, Rheumatoid",white,,
PA451578:tacrolimus,1,PA166135308,rs1057868,chr7,75615006,POR,1448573278,3,dosage; toxicity,PA165817016:Kidney Transplantation,,,1
PA450496:midazolam,1,PA166134963,rs1057868,chr7,75615006,POR,1183491218,3,other,,,1,
PA449167:cyclosporine,1,PA166136223,rs1057868,chr7,75615006,POR,1447945826,3,pk,PA165817016:Kidney Transplantation,,,1
PA448500:atorvastatin,1,PA166136389,rs1057868,chr7,75615006,POR,1445401970,3,efficacy,PA166114942:familial hypercholesterolemia,white,,
PA450626:nicotine,1,PA166152779,rs1057868,chr7,75615006,POR,1447962608,3,pk,,black,,
PA451365:sirolimus,1,PA166162474,rs1057868,chr7,75615006,POR,1448567802,3,pk,PA165817016:Kidney Transplantation,,1,
PA130232992:bevacizumab;PA164746012:ranibizumab,2,PA166136295,rs1061170,chr1,196659237,CFH,1448100739,3,efficacy,PA134850558:Macular Degeneration,,,1
PA165984462:photodynamic therapy,1,PA166152675,rs1061170,chr1,196659237,CFH,1447960267,3,efficacy,PA134850558:Macular Degeneration,,1,
PA130232992:bevacizumab,1,PA166136106,rs1061170,chr1,196659237,CFH,1444607330,3,dosage,PA134850558:Macular Degeneration,asian,,
PA449053:clopidogrel,1,PA166160430,rs1061781,chr1,44451234,B4GALT2,1448262550,3,efficacy,,white,,
PA133950441:hmg coa reductase inhibitors;PA450196:letrozole,2,PA166136490,rs1062033,chr15,51547938,CYP19A1,1447682305,3,other,PA443560:Breast Neoplasms; PA166048848:Menopause,,1,
PA133950441:hmg coa reductase inhibitors,1,PA166135612,rs1063320,chr6,29798749,HLA-G,1184988844,3,efficacy,PA443450:Asthma,white,,
PA449061:clozapine,1,PA166135116,rs1062613,chr11,113846006,HTR3A,1183630696,3,efficacy,PA447216:Schizophrenia,,,
PA448497:aspirin,1,PA166134794,rs1062535,chr5,52351412,ITGA2,1043858707,3,efficacy,PA445019:Myocardial Infarction,,1,
PA448497:aspirin;PA449053:clopidogrel,2,PA166134821,rs1062535,chr5,52351413,ITGA2,1446909058,3,efficacy,,,1,
PA448803:carboplatin;PA449014:cisplatin;PA449748:gemcitabine,3,PA166152676,rs1065634,chr1,115259768,NRAS,1447960274,3,efficacy,"PA443622:Carcinoma, Non-Small-Cell Lung",,,1
PA164713366:Tumor necrosis factor alpha (TNF-alpha) inhibitors,1,PA166135825,rs1061631,chr1,12268499,TNFRSF1B,1444704340,3,efficacy,"PA443434:Arthritis, Rheumatoid",white,,
PA161199368:iloperidone,1,PA166135089,rs1065852,chr22,42526694,CYP2D6,1183614834,3,toxicity,PA447216:Schizophrenia,,1,
PA10074:escitalopram,1,PA166136114,rs1065852,chr22,42526694,CYP2D6,1444700533,3,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA449061:clozapine,1,PA166151929,rs1072388,chr12,13938776,GRIN2B,1447952830,3,efficacy,PA447216:Schizophrenia,white,,
PA448499:atenolol,1,PA166135952,rs10739150,chr9,8176226,,1446902925,3,efficacy,PA444552:Hypertension,black,,
PA450268:losartan,1,PA166136373,rs10737062,chr10,12732743,CAMK1D,1445401308,3,toxicity,PA447288:Essential hypertension,white,,
PA164784024:peginterferon alfa-2b;PA451241:ribavirin,2,PA166163257,rs10741657,chr11,14914878,CYP2R1,1448602939,3,efficacy,"PA446863:Hepatitis C, Chronic",white,,
PA448497:aspirin,1,PA166136194,rs1074373,chr7,30616761,,1444667583,3,toxicity,PA131285571:aspirin-induced asthma; PA443450:Asthma,asian,,
PA450395:metformin,1,PA166136200,rs10747673,chr12,53755212,,1444668291,3,efficacy,PA443886:Diabetes Mellitus,,,1
PA450268:losartan,1,PA166136372,rs10752271,chr10,12704191,CAMK1D,1445401301,3,toxicity,PA447288:Essential hypertension,white,,
"PA164712462:Antiinflammatory agents, non-steroids",1,PA166135398,rs10757274,chr9,22096055,CDKN2B-AS1,1183700540,3,toxicity,PA165108401:Acute coronary syndrome,,1,
PA452632:acenocoumarol,1,PA166134413,rs1057910,chr10,96741053,CYP2C9,981418922,2A,dosage; toxicity,,,,1
PA449688:fluvastatin,1,PA166134907,rs1057910,chr10,96741053,CYP2C9,1045153890,3,other,,,1,
PA451363:simvastatin;PA451906:warfarin,2,PA166134908,rs1057910,chr10,96741053,CYP2C9,1047434921,3,dosage,,,1,
PA451906:warfarin,1,PA166134154,rs1057910,chr10,96741053,CYP2C9,1448431556,1A,dosage; toxicity,,,,1
PA448871:celecoxib,1,PA166134443,rs1057910,chr10,96741053,CYP2C9,1183693358,2A,dosage,,,,1
"PA164712462:Antiinflammatory agents, non-steroids;PA448871:celecoxib;PA449293:diclofenac",3,PA166134604,rs1057910,chr10,96741052,CYP2C9,981238453,2A,toxicity,,,1,
PA450268:losartan,1,PA166134605,rs1057910,chr10,96741052,CYP2C9,1043737394,3,efficacy,,white,,
PA450947:phenytoin,1,PA166134606,rs1057910,chr10,96741052,CYP2C9,981238505,3,toxicity,PA444065:Epilepsy,,,1
PA449053:clopidogrel,1,PA166134741,rs1057910,chr10,96741053,CYP2C9,1448278853,3,efficacy,PA165108401:Acute coronary syndrome; PA443796:Coronary Artery Disease,,,1
