Chemical_ID,Chemical_Name,PharmGKB_ID,RS_ID
PA448497,aspirin,PA166134796,rs1050891
PA10026,aripiprazole,PA166135349,rs1049353
PA449061,clozapine,PA166135349,rs1049353
PA449841,haloperidol,PA166135349,rs1049353
PA450688,olanzapine,PA166135349,rs1049353
PA451201,quetiapine,PA166135349,rs1049353
PA451257,risperidone,PA166135349,rs1049353
PA451906,warfarin,PA166134867,rs10509680
PA165857067,chlorproguanil,PA166134624,rs1050828
PA449211,dapsone,PA166134624,rs1050828
PA448404,amodiaquine,PA166135180,rs1050828
PA451193,pyrimethamine,PA166135180,rs1050828
PA451540,sulfadoxine,PA166135180,rs1050828
PA165111697,artesunate,PA166134609,rs1050828
PA451103,primaquine,PA166134609,rs1050828
PA451193,pyrimethamine,PA166134609,rs1050828
PA451540,sulfadoxine,PA166134609,rs1050828
PA448068,salbutamol,PA166152757,rs10511905
PA164713176,Platinum compounds,PA166153058,rs10510050
PA10810,pemetrexed,PA166136177,rs1051298
PA448404,amodiaquine,PA166134052,rs10509681
PA451283,rosiglitazone,PA166134144,rs10509681
PA451234,repaglinide,PA166134455,rs10509681
PA450761,paclitaxel,PA166134171,rs10509681
PA164713257,Selective serotonin reuptake inhibitors,PA166151938,rs10514475
PA448499,atenolol,PA166134446,rs1051375
PA451868,verapamil,PA166134446,rs1051375
PA451644,thalidomide,PA166134865,rs1051685
PA451906,warfarin,PA166135934,rs10517
PA449014,cisplatin,PA166135203,rs1051640
PA449014,cisplatin,PA166135518,rs1052536
PA449165,cyclophosphamide,PA166135518,rs1052536
PA449014,cisplatin,PA166135514,rs1051740
PA449165,cyclophosphamide,PA166135514,rs1051740
PA450947,phenytoin,PA166134302,rs1051740
PA448785,carbamazepine,PA166134607,rs1051740
PA450921,phenprocoumon,PA166152673,rs1051740
PA449383,docetaxel,PA166158784,rs10538494
PA164712720,Drugs used in nicotine dependence,PA166134695,rs1051730
PA450626,nicotine,PA166135733,rs1051730
PA164712950,Opium alkaloids and derivatives,PA166136468,rs1051730
PA448073,ethanol,PA166159194,rs1051730
PA450428,methotrexate,PA166136527,rs1053129
PA130232992,bevacizumab,PA166136368,rs1056515
PA128406956,fluorouracil,PA166136368,rs1056515
PA450085,irinotecan,PA166136368,rs1056515
PA450198,leucovorin,PA166136368,rs1056515
PA164713176,Platinum compounds,PA166136181,rs1052555
PA450085,irinotecan,PA166135354,rs1051266
PA450428,methotrexate,PA166134338,rs1051266
PA450428,methotrexate,PA166134608,rs1051266
PA10004,adalimumab,PA166151928,rs1059150
PA165107055,certolizumab pegol,PA166151928,rs1059150
PA449515,etanercept,PA166151928,rs1059150
PA452347,glucocorticoids,PA166151928,rs1059150
PA452639,infliximab,PA166151928,rs1059150
PA450428,methotrexate,PA166151928,rs1059150
PA130620651,anthracyclines and related substances,PA166134116,rs1056892
PA448497,aspirin,PA166135736,rs1059288
PA449383,docetaxel,PA166134130,rs1056836
PA450761,paclitaxel,PA166134130,rs1056836
PA449165,cyclophosphamide,PA166136364,rs1056836
PA449476,epirubicin,PA166136364,rs1056836
PA128406956,fluorouracil,PA166136364,rs1056836
PA449165,cyclophosphamide,PA166136021,rs1056836
PA449476,epirubicin,PA166136021,rs1056836
PA450761,paclitaxel,PA166136021,rs1056836
PA10204,tenofovir,PA166136493,rs1059751
PA448432,anastrozole,PA166135602,rs10485828
PA449563,exemestane,PA166135602,rs10485828
PA162372878,dasatinib,PA166135737,rs1061018
PA10804,imatinib,PA166135737,rs1061018
PA165958345,nilotinib,PA166135737,rs1061018
PA448803,carboplatin,PA166135944,rs1061472
PA150481189,taxanes,PA166135944,rs1061472
PA452639,infliximab,PA166135823,rs1061622
PA164713366,Tumor necrosis factor alpha (TNF-alpha) inhibitors,PA166135823,rs1061622
PA451578,tacrolimus,PA166135308,rs1057868
PA450496,midazolam,PA166134963,rs1057868
PA449167,cyclosporine,PA166136223,rs1057868
PA448500,atorvastatin,PA166136389,rs1057868
PA450626,nicotine,PA166152779,rs1057868
PA451365,sirolimus,PA166162474,rs1057868
PA130232992,bevacizumab,PA166136295,rs1061170
PA164746012,ranibizumab,PA166136295,rs1061170
PA165984462,photodynamic therapy,PA166152675,rs1061170
PA130232992,bevacizumab,PA166136106,rs1061170
PA449053,clopidogrel,PA166160430,rs1061781
PA133950441,hmg coa reductase inhibitors,PA166136490,rs1062033
PA450196,letrozole,PA166136490,rs1062033
PA133950441,hmg coa reductase inhibitors,PA166135612,rs1063320
PA449061,clozapine,PA166135116,rs1062613
PA448497,aspirin,PA166134794,rs1062535
PA448497,aspirin,PA166134821,rs1062535
PA449053,clopidogrel,PA166134821,rs1062535
PA448803,carboplatin,PA166152676,rs1065634
PA449014,cisplatin,PA166152676,rs1065634
PA449748,gemcitabine,PA166152676,rs1065634
PA164713366,Tumor necrosis factor alpha (TNF-alpha) inhibitors,PA166135825,rs1061631
PA161199368,iloperidone,PA166135089,rs1065852
PA10074,escitalopram,PA166136114,rs1065852
PA449061,clozapine,PA166151929,rs1072388
PA448499,atenolol,PA166135952,rs10739150
PA450268,losartan,PA166136373,rs10737062
PA164784024,peginterferon alfa-2b,PA166163257,rs10741657
PA451241,ribavirin,PA166163257,rs10741657
PA448497,aspirin,PA166136194,rs1074373
PA450395,metformin,PA166136200,rs10747673
PA450268,losartan,PA166136372,rs10752271
PA164712462,"Antiinflammatory agents, non-steroids",PA166135398,rs10757274
PA452632,acenocoumarol,PA166134413,rs1057910
PA449688,fluvastatin,PA166134907,rs1057910
PA451363,simvastatin,PA166134908,rs1057910
PA451906,warfarin,PA166134908,rs1057910
PA451906,warfarin,PA166134154,rs1057910
PA448871,celecoxib,PA166134443,rs1057910
PA164712462,"Antiinflammatory agents, non-steroids",PA166134604,rs1057910
PA448871,celecoxib,PA166134604,rs1057910
PA449293,diclofenac,PA166134604,rs1057910
PA450268,losartan,PA166134605,rs1057910
PA450947,phenytoin,PA166134606,rs1057910
PA449053,clopidogrel,PA166134741,rs1057910
PA10390,"sulfonamides, urea derivatives",PA166134288,rs1057910
PA450084,irbesartan,PA166153433,rs1057910
PA450037,interferon beta-1a,PA166152641,rs10760397
PA450039,interferon beta-1b,PA166152641,rs10760397
PA449748,gemcitabine,PA166152674,rs1060896
PA164764584,rasagiline,PA166158980,rs1076560
PA449072,cocaine,PA166152818,rs1076560
PA450688,olanzapine,PA166136509,rs1076560
PA450761,paclitaxel,PA166135755,rs10771973
PA164713366,Tumor necrosis factor alpha (TNF-alpha) inhibitors,PA166161172,rs10782001
PA162565877,amisulpride,PA166136014,rs1079597
PA449899,hydrochlorothiazide,PA166135739,rs10792367
PA452233,antipsychotics,PA166134279,rs1079598
PA449061,clozapine,PA166134279,rs1079598
PA450688,olanzapine,PA166134279,rs1079598
PA452616,debrisoquine,PA166135400,rs1080985
PA451666,thioridazine,PA166135403,rs1080985
PA448497,aspirin,PA166134756,rs1065776
PA448383,amiodarone,PA166134639,rs10800397
PA451799,troglitazone,PA166134151,rs10811661
PA449441,efavirenz,PA166135513,rs1045642
PA451100,prednisone,PA166134400,rs1045642
PA451578,tacrolimus,PA166134400,rs1045642
PA451365,sirolimus,PA166135091,rs1045642
PA164749649,dicloxacillin,PA166134558,rs1045642
PA146123005,talinolol,PA166135244,rs1045642
PA130620651,anthracyclines and related substances,PA166135271,rs1045642
PA150481189,taxanes,PA166135271,rs1045642
PA450705,ondansetron,PA166135272,rs1045642
PA450163,lamivudine,PA166135340,rs1045642
PA450264,lopinavir,PA166135340,rs1045642
PA451260,ritonavir,PA166135340,rs1045642
PA451954,zidovudine,PA166135340,rs1045642
PA451581,tamoxifen,PA166135357,rs1045642
PA133950441,hmg coa reductase inhibitors,PA166135549,rs1045642
PA452618,opioids,PA166135595,rs1045642
PA7000,sorafenib,PA166135635,rs1045642
PA451879,vincristine,PA166136032,rs1045642
PA449621,fexofenadine,PA166134306,rs1045642
PA130620651,anthracyclines and related substances,PA166134308,rs1045642
PA449177,cytarabine,PA166134308,rs1045642
PA449412,doxorubicin,PA166134308,rs1045642
PA449476,epirubicin,PA166134308,rs1045642
PA449961,idarubicin,PA166134308,rs1045642
PA450616,nevirapine,PA166134333,rs1045642
PA448500,atorvastatin,PA166134918,rs1045642
PA448500,atorvastatin,PA166134920,rs1045642
PA451363,simvastatin,PA166134921,rs1045642
PA451363,simvastatin,PA166134922,rs1045642
PA450761,paclitaxel,PA166134546,rs1045642
PA450761,paclitaxel,PA166134547,rs1045642
PA449167,cyclosporine,PA166134548,rs1045642
PA450947,phenytoin,PA166134549,rs1045642
PA450947,phenytoin,PA166134550,rs1045642
PA448785,carbamazepine,PA166134551,rs1045642
PA449053,clopidogrel,PA166134552,rs1045642
PA449319,digoxin,PA166134553,rs1045642
PA449014,cisplatin,PA166134554,rs1045642
PA128406956,fluorouracil,PA166134554,rs1045642
PA128406956,fluorouracil,PA166134555,rs1045642
PA449247,dexamethasone,PA166134556,rs1045642
PA449412,doxorubicin,PA166134556,rs1045642
PA451879,vincristine,PA166134556,rs1045642
PA165110729,rhodamine 123,PA166134557,rs1045642
PA448771,capecitabine,PA166134559,rs1045642
PA451257,risperidone,PA166136180,rs1045642
PA450704,omeprazole,PA166135700,rs1045642
PA450774,pantoprazole,PA166135700,rs1045642
PA451578,tacrolimus,PA166136257,rs1045642
PA450550,morphine,PA166135500,rs1045642
PA143485705,antiepileptics,PA166134485,rs1045642
PA131285527,oxaliplatin,PA166134720,rs1045642
PA451868,verapamil,PA166134728,rs1045642
PA450657,nortriptyline,PA166134173,rs1045642
PA450180,lansoprazole,PA166134174,rs1045642
PA451578,tacrolimus,PA166134174,rs1045642
PA450428,methotrexate,PA166134274,rs1045642
PA449441,efavirenz,PA166134286,rs1045642
PA450606,nelfinavir,PA166134286,rs1045642
PA451578,tacrolimus,PA166135725,rs1045642
PA451578,tacrolimus,PA166136258,rs1045642
PA451578,tacrolimus,PA166135728,rs1045642
PA450911,phenobarbital,PA166135763,rs1045642
PA164768820,daptomycin,PA166135912,rs1045642
PA164713176,Platinum compounds,PA166152670,rs1045642
PA10233,voriconazole,PA166152671,rs1045642
PA164712505,"Antivirals for treatment of HIV infections, combinations",PA166152967,rs1045642
PA164712708,Drugs For Treatment Of Tuberculosis,PA166152967,rs1045642
PA452233,antipsychotics,PA166153097,rs1045642
PA165958363,agomelatine,PA166136501,rs1045642
PA164712708,Drugs For Treatment Of Tuberculosis,PA166152860,rs1045642
PA450530,modafinil,PA166136508,rs1045642
PA450268,losartan,PA166159573,rs1045642
PA449061,clozapine,PA166161245,rs1045642
PA449809,granisetron,PA166161265,rs1045642
PA449088,codeine,PA166136329,rs1045642
PA449599,fentanyl,PA166136330,rs1045642
PA450401,methadone,PA166136330,rs1045642
PA450550,morphine,PA166136330,rs1045642
PA452618,opioids,PA166136330,rs1045642
PA450741,oxycodone,PA166136330,rs1045642
PA451735,tramadol,PA166136330,rs1045642
PA450466,methylprednisolone,PA166136333,rs1045642
PA451096,prednisolone,PA166136333,rs1045642
PA449552,etoposide,PA166136334,rs1045642
PA162372840,sunitinib,PA166136376,rs1045642
PA448785,carbamazepine,PA166136388,rs1045642
PA166129539,silibinin,PA166136010,rs1045642
PA451866,venlafaxine,PA166136502,rs1045642
PA164713257,Selective serotonin reuptake inhibitors,PA166136005,rs1045642
PA451578,tacrolimus,PA166136026,rs1045642
PA450550,morphine,PA166136081,rs1045642
PA10251,atazanavir,PA166135636,rs1045642
PA451260,ritonavir,PA166135636,rs1045642
PA450428,methotrexate,PA166136102,rs1045642
PA10804,imatinib,PA166135643,rs1045642
PA450688,olanzapine,PA166136127,rs1045642
PA165110351,Dabigatran,PA166162404,rs1045642
PA449053,clopidogrel,PA166163651,rs1045642
PA165958360,rivaroxaban,PA166162405,rs1045642
PA448432,anastrozole,PA166163643,rs1045642
PA449053,clopidogrel,PA166163681,rs1045642
PA450037,interferon beta-1a,PA166152639,rs10819043
PA450039,interferon beta-1b,PA166152639,rs10819043
PA450428,methotrexate,PA166134276,rs10821936
PA450401,methadone,PA166134697,rs10835210
PA130620651,anthracyclines and related substances,PA166134115,rs10836235
PA164749390,peginterferon alfa-2a,PA166160592,rs10846744
PA451241,ribavirin,PA166160592,rs10846744
PA166114414,cotinine,PA166153173,rs10851907
PA164784024,peginterferon alfa-2b,PA166159166,rs10853728
PA451241,ribavirin,PA166159166,rs10853728
PA164784024,peginterferon alfa-2b,PA166159174,rs10877012
PA451241,ribavirin,PA166159174,rs10877012
PA449015,citalopram,PA166135841,rs10848635
PA164713176,Platinum compounds,PA166135678,rs10878232
PA452229,antidepressants,PA166134409,rs10879346
PA450522,mirtazapine,PA166134409,rs10879346
PA451866,venlafaxine,PA166134409,rs10879346
PA450921,phenprocoumon,PA166136268,rs10871454
PA451906,warfarin,PA166134209,rs10871454
PA10407,calcium channel blockers,PA166158875,rs10898815
PA450626,nicotine,PA166136270,rs10912675
PA449748,gemcitabine,PA166153006,rs10916852
PA448383,amiodarone,PA166134640,rs10919035
PA451868,verapamil,PA166134182,rs10918594
PA10004,adalimumab,PA166135397,rs10919563
PA449515,etanercept,PA166135397,rs10919563
PA452639,infliximab,PA166135397,rs10919563
PA164713366,Tumor necrosis factor alpha (TNF-alpha) inhibitors,PA166135397,rs10919563
PA166114484,nsc697887,PA166136272,rs10931910
PA10251,atazanavir,PA166136089,rs10929303
PA451260,ritonavir,PA166136089,rs10929303
PA448015,acetaminophen,PA166135087,rs10929303
PA448015,acetaminophen,PA166135088,rs10929303
PA450085,irinotecan,PA166158728,rs10934498
PA166122986,radiotherapy,PA166136290,rs10711
PA128406956,fluorouracil,PA166136469,rs10937158
PA450085,irinotecan,PA166136469,rs10937158
PA450198,leucovorin,PA166136469,rs10937158
PA164713366,Tumor necrosis factor alpha (TNF-alpha) inhibitors,PA166158981,rs10945919
PA451250,rifampin,PA166160698,rs10946737
PA451250,rifampin,PA166160697,rs10946739
PA449212,daunorubicin,PA166134127,rs10932125
PA450379,mercaptopurine,PA166159956,rs10948059
PA449014,cisplatin,PA166159503,rs10964552
PA449899,hydrochlorothiazide,PA166162512,rs10995
PA449015,citalopram,PA166135842,rs10975641
PA10074,escitalopram,PA166135842,rs10975641
PA452229,antidepressants,PA166158947,rs10997242
PA450428,methotrexate,PA166159012,rs10994982
PA452233,antipsychotics,PA166135411,rs11030104
PA449748,gemcitabine,PA166135741,rs11030918
PA164713176,Platinum compounds,PA166135741,rs11030918
PA451581,tamoxifen,PA166135740,rs11023197
PA448499,atenolol,PA166134896,rs11039149
PA451868,verapamil,PA166134896,rs11039149
PA164760843,deferasirox,PA166136450,rs10929302
PA450085,irinotecan,PA166134663,rs10929302
PA448499,atenolol,PA166135951,rs1104514
PA450801,paroxetine,PA166134340,rs11042725
PA450428,methotrexate,PA166136337,rs11045872
PA449383,docetaxel,PA166134583,rs11045585
PA450428,methotrexate,PA166136338,rs11045821
PA449688,fluvastatin,PA166134132,rs11045819
PA451250,rifampin,PA166158880,rs11045819
PA165292659,tocilizumab,PA166159494,rs11052877
PA449014,cisplatin,PA166135232,rs10981694
PA448871,celecoxib,PA166136273,rs11078659
PA450428,methotrexate,PA166135396,rs1105525
PA450112,isoniazid,PA166135395,rs11080344
PA451250,rifampin,PA166135395,rs11080344
PA450428,methotrexate,PA166134398,rs11045879
PA165983754,pitrakinra,PA166135085,rs1110470
PA452620,tegafur,PA166152782,rs111033610
PA448499,atenolol,PA166163201,rs11124945
PA451868,verapamil,PA166163201,rs11124945
PA164712406,Antibiotics,PA166160647,rs11125
PA166122986,radiotherapy,PA166136291,rs11125035
PA448388,amlodipine,PA166136472,rs11122576
PA448970,chlorthalidone,PA166136472,rs11122576
PA450242,lisinopril,PA166136472,rs11122576
PA448388,amlodipine,PA166136473,rs11122576
PA448970,chlorthalidone,PA166136473,rs11122576
PA450242,lisinopril,PA166136473,rs11122576
PA451846,valproic acid,PA166134584,rs1105879
PA164713366,Tumor necrosis factor alpha (TNF-alpha) inhibitors,PA166161862,rs11126740
PA448499,atenolol,PA166135086,rs11064426
PA449015,citalopram,PA166135253,rs11144870
PA10074,escitalopram,PA166135253,rs11144870
PA450761,paclitaxel,PA166134403,rs1113129
PA450761,paclitaxel,PA166136383,rs1113129
PA449748,gemcitabine,PA166135656,rs11141915
PA449383,docetaxel,PA166158789,rs11185647
PA451906,warfarin,PA166134868,rs11150606
PA449383,docetaxel,PA166158889,rs11185648
PA449383,docetaxel,PA166158790,rs11185648
PA164749136,desflurane,PA166135970,rs111888148
PA449461,enflurane,PA166135970,rs111888148
PA449845,halothane,PA166135970,rs111888148
PA450106,isoflurane,PA166135970,rs111888148
PA450434,methoxyflurane,PA166135970,rs111888148
PA451341,sevoflurane,PA166135970,rs111888148
PA451522,succinylcholine,PA166135970,rs111888148
PA449899,hydrochlorothiazide,PA166136407,rs11189015
PA130620651,anthracyclines and related substances,PA166135939,rs11155012
PA164712563,Bisphosphonates,PA166135394,rs11189381
PA449301,didanosine,PA166135347,rs11191561
PA130232992,bevacizumab,PA166152977,rs11200638
PA164746012,ranibizumab,PA166152977,rs11200638
PA164713366,Tumor necrosis factor alpha (TNF-alpha) inhibitors,PA166161169,rs11209026
PA164712308,"Ace Inhibitors, Plain",PA166134407,rs11209716
PA10074,escitalopram,PA166134387,rs11188072
PA450373,mephenytoin,PA166134386,rs11188072
PA449969,imipramine,PA166135143,rs11188072
PA449748,gemcitabine,PA166135498,rs11211524
PA449014,cisplatin,PA166135517,rs11226
PA449165,cyclophosphamide,PA166135517,rs11226
PA450428,methotrexate,PA166136348,rs11231809
PA450631,nifedipine,PA166134205,rs1123617
PA450395,metformin,PA166134585,rs11212617
PA449177,cytarabine,PA166135317,rs11231825
PA449655,fludarabine,PA166135317,rs11231825
PA164749431,gemtuzumab ozogamicin,PA166135317,rs11231825
PA449961,idarubicin,PA166135317,rs11231825
PA450688,olanzapine,PA166135350,rs1124493
PA452233,antipsychotics,PA166161296,rs1124491
PA449563,exemestane,PA166153024,rs11253043
PA448068,salbutamol,PA166134760,rs11252394
PA10040,cetuximab,PA166152751,rs112445441
PA162373091,panitumumab,PA166152751,rs112445441
PA450626,nicotine,PA166136274,rs112561475
PA449072,cocaine,PA166159237,rs1125394
PA450403,methamphetamine,PA166135661,rs1126442
PA164749136,desflurane,PA166136362,rs112563513
PA449461,enflurane,PA166136362,rs112563513
PA449845,halothane,PA166136362,rs112563513
PA450106,isoflurane,PA166136362,rs112563513
PA450434,methoxyflurane,PA166136362,rs112563513
PA451341,sevoflurane,PA166136362,rs112563513
PA451522,succinylcholine,PA166136362,rs112563513
PA448500,atorvastatin,PA166135878,rs11264359
PA164712563,Bisphosphonates,PA166135878,rs11264359
PA448497,aspirin,PA166136275,rs1126510
PA451578,tacrolimus,PA166136239,rs11265572
PA165292659,tocilizumab,PA166161956,rs11265618
PA162372840,sunitinib,PA166135947,rs1126647
PA10074,escitalopram,PA166135664,rs1126757
PA449051,clonidine,PA166135084,rs11269124
PA450761,paclitaxel,PA166135081,rs1127687
PA164713176,Platinum compounds,PA166135081,rs1127687
PA449748,gemcitabine,PA166135082,rs1127687
PA164713176,Platinum compounds,PA166135082,rs1127687
PA448803,carboplatin,PA166135233,rs1130214
PA449014,cisplatin,PA166135233,rs1130214
PA449027,cladribine,PA166135379,rs1130609
PA449177,cytarabine,PA166135379,rs1130609
PA10004,adalimumab,PA166158977,rs1130864
PA10204,tenofovir,PA166136276,rs113165732
PA448497,aspirin,PA166134737,rs1126643
PA449053,clopidogrel,PA166134737,rs1126643
PA449899,hydrochlorothiazide,PA166136504,rs11313667
PA448499,atenolol,PA166136503,rs11313667
PA450480,metoprolol,PA166136006,rs11313667
PA449899,hydrochlorothiazide,PA166136401,rs113095083
PA448497,aspirin,PA166134793,rs1131882
PA448497,aspirin,PA166163792,rs1131882
PA450626,nicotine,PA166135956,rs113288603
PA451906,warfarin,PA166134056,rs1131873
PA165374673,ticagrelor,PA166158970,rs113681054
PA10407,calcium channel blockers,PA166134644,rs1137617
PA146096020,nitrendipine,PA166134644,rs1137617
PA451743,trastuzumab,PA166134212,rs1136201
PA451668,thiotepa,PA166134238,rs1138272
PA449014,cisplatin,PA166136396,rs1138272
PA451363,simvastatin,PA166134742,rs1137101
PA451363,simvastatin,PA166134743,rs1137101
PA452233,antipsychotics,PA166152906,rs1137101
PA451846,valproic acid,PA166135901,rs1137101
PA166151864,ataluren,PA166151961,rs113993959
PA164713176,Platinum compounds,PA166159994,rs1143623
PA451234,repaglinide,PA166134764,rs114202595
PA448497,aspirin,PA166134792,rs1143627
PA452639,infliximab,PA166152677,rs1143634
